user_id,loan_amount_inr,existing_debt,annual_income,credit_score
USR_00273,22000,2060,345000,490
USR_00274,8000,1130,88000,679
USR_00275,34000,7903,256000,609
USR_00276,26000,10187,178000,624
USR_00277,12000,4980,222000,643
USR_00278,23000,5631,181000,534
USR_00279,14000,881,421000,698
USR_00280,24000,6480,214000,610
USR_00281,42000,9346,154000,810
USR_00282,107000,25992,374000,616
USR_00283,6000,3103,196000,622
USR_00284,185000,10826,179000,555
USR_00285,3000,624,209000,537
USR_00286,18000,1047,151000,711
USR_00287,39000,5323,163000,724
USR_00288,29000,1785,101000,610
USR_00289,11000,3007,89000,658
USR_00290,17000,7652,73000,736
USR_00291,13000,3776,53000,670
USR_00292,12000,597,80000,683
USR_00293,51000,9059,141000,656
USR_00294,31000,4312,176000,604
USR_00295,11000,150,131000,676
USR_00296,54000,31749,24000,780
USR_00297,29000,16449,573000,613
USR_00298,49000,4608,388000,710
USR_00299,41000,14674,232000,662
USR_00300,9000,2063,748000,608
USR_00301,12000,2498,74000,712
USR_00302,46000,34749,736000,704
USR_00303,40000,13011,75000,690
USR_00304,21000,2185,197000,772
USR_00305,24000,4421,58000,778
USR_00306,79000,14093,164000,653
USR_00307,12000,4036,221000,642
USR_00308,38000,5042,143000,550
USR_00309,17000,6488,288000,757
USR_00310,17000,4608,176000,644
USR_00311,66000,875,107000,607
USR_00312,50000,3295,103000,584
USR_00313,49000,4982,311000,584
USR_00314,81000,15529,96000,773
USR_00315,22000,2286,338000,712
USR_00316,43000,3511,432000,545
USR_00317,16000,6237,42000,548
USR_00318,30000,12758,402000,658
USR_00319,19000,4015,846000,578
USR_00320,24000,4638,199000,632
USR_00321,39000,7574,262000,758
USR_00322,9000,5149,373000,724
USR_00323,178000,15994,130000,530
USR_00324,8000,5554,188000,579
USR_00325,6000,855,56000,667
USR_00326,70000,11218,181000,729
USR_00327,48000,8032,242000,592
USR_00328,41000,3184,245000,675
USR_00329,41000,1409,381000,618
USR_00330,21000,3385,87000,772
USR_00331,8000,1875,106000,693
USR_00332,23000,11363,741000,636
USR_00333,11000,1813,144000,545
USR_00334,58000,12509,190000,575
USR_00335,19000,3567,154000,473
USR_00336,9000,3693,84000,669
USR_00337,15000,2644,596000,696
USR_00338,33000,10622,106000,700
USR_00339,12000,1787,66000,607
USR_00340,9000,2145,113000,739
USR_00341,28000,13151,32000,760
USR_00342,28000,5047,96000,603
USR_00343,13000,511,75000,732
USR_00344,13000,3697,266000,659
USR_00345,27000,4734,94000,613
USR_00346,5000,953,331000,736
USR_00347,5000,1347,498000,565
USR_00348,10000,4568,304000,546
USR_00349,17000,1809,136000,622
USR_00350,30000,6636,182000,634
USR_00351,96000,29877,48000,534
USR_00352,51000,19447,146000,684
USR_00353,18000,2003,81000,595
USR_00354,21000,4459,283000,558
USR_00355,8000,646,1274000,695
USR_00356,21000,4047,242000,619
USR_00357,16000,4644,33000,724
USR_00358,30000,2693,121000,682
USR_00359,9000,3205,179000,636
USR_00360,37000,13114,174000,726
USR_00361,102000,24945,90000,679
USR_00362,19000,581,198000,648
USR_00363,32000,9464,60000,685
USR_00364,43000,2038,76000,688
USR_00365,14000,4319,272000,573
USR_00366,27000,6833,72000,815
USR_00367,22000,5489,250000,654
USR_00368,24000,793,54000,656
USR_00369,10000,2448,667000,527
USR_00370,22000,7457,87000,658
USR_00371,36000,3445,136000,662
USR_00372,94000,38661,212000,569
USR_00373,57000,4849,103000,577
USR_00374,189000,51679,182000,587
USR_00375,10000,5215,257000,629
USR_00376,52000,10452,350000,664
USR_00377,26000,982,306000,634
USR_00378,196000,77498,141000,671
USR_00379,9000,2333,144000,697
USR_00380,9000,5380,1065000,688
USR_00381,12000,1467,347000,675
USR_00382,2000,664,77000,669
USR_00383,13000,5041,176000,670
USR_00384,10000,570,124000,639
USR_00385,25000,3572,146000,603
USR_00386,31000,2633,60000,643
USR_00387,143000,67736,117000,695
USR_00388,56000,14836,693000,695
USR_00389,12000,4150,258000,685
USR_00390,8000,3349,22000,616
USR_00391,36000,467,430000,634
USR_00392,5000,3088,389000,635
USR_00393,137000,16762,122000,607
USR_00394,71000,30729,288000,712
USR_00395,13000,6690,81000,521
USR_00396,3000,113,111000,791
USR_00397,85000,37525,539000,795
USR_00398,19000,3288,130000,653
USR_00399,75000,22234,36000,678
USR_00400,4000,910,154000,709
USR_00401,12000,445,152000,596
USR_00402,22000,9210,424000,689
USR_00403,23000,12389,164000,742
USR_00404,14000,3354,116000,523
USR_00405,41000,735,375000,549
USR_00406,7000,1479,179000,702
USR_00407,19000,8029,89000,631
USR_00408,24000,12155,410000,622
USR_00409,36000,6954,190000,627
USR_00410,44000,4029,163000,571
USR_00411,7000,2552,187000,621
USR_00412,4000,779,69000,557
USR_00413,79000,6032,106000,741
USR_00414,30000,3202,163000,659
USR_00415,10000,5097,139000,657
USR_00416,103000,37472,450000,696
USR_00417,24000,9889,193000,845
USR_00418,71000,11358,322000,576
USR_00419,23000,2250,163000,521
USR_00420,172000,28519,378000,647
USR_00421,127000,46060,223000,522
USR_00422,17000,2259,164000,626
USR_00423,58000,1331,161000,711
USR_00424,41000,5176,75000,756
USR_00425,86000,10190,244000,540
USR_00426,8000,1544,157000,583
USR_00427,43000,1841,108000,675
USR_00428,63000,6837,394000,702
USR_00429,3000,930,59000,706
USR_00430,6000,2270,116000,753
USR_00431,2000,615,370000,701
USR_00432,16000,3877,209000,641
USR_00433,45000,2689,156000,724
USR_00434,98000,3158,198000,654
USR_00435,23000,3420,187000,669
USR_00436,112000,16673,48000,615
USR_00437,5000,2135,123000,660
USR_00438,4000,424,593000,535
USR_00439,20000,3791,96000,722
USR_00440,32000,13421,126000,579
USR_00441,21000,5478,105000,587
USR_00442,2000,276,151000,487
USR_00443,20000,425,102000,592
USR_00444,5000,1275,240000,582
USR_00445,43000,16855,190000,665
USR_00446,31000,13989,302000,559
USR_00447,8000,4569,70000,618
USR_00448,13000,5119,123000,602
USR_00449,7000,3467,135000,526
USR_00450,20000,1547,234000,666
USR_00451,57000,37507,86000,634
USR_00452,8000,3417,338000,652
USR_00453,36000,15045,420000,708
USR_00454,12000,3545,73000,650
USR_00455,9000,1262,109000,626
USR_00456,19000,1816,106000,714
USR_00457,7000,646,1336000,627
USR_00458,12000,3526,115000,614
USR_00459,6000,1806,622000,696
USR_00460,157000,81222,59000,595
USR_00461,22000,8504,73000,731
USR_00462,10000,5126,93000,661
USR_00463,27000,4572,82000,759
USR_00464,19000,5803,131000,645
USR_00465,17000,11504,92000,716
USR_00466,40000,2842,84000,535
USR_00467,46000,6199,411000,739
USR_00468,12000,7521,433000,698
USR_00469,12000,4594,347000,604
USR_00470,16000,9199,247000,710
USR_00471,2000,307,175000,561
USR_00472,4000,275,109000,615
USR_00473,86000,15263,75000,590
USR_00474,114000,68265,217000,714
USR_00475,17000,10576,63000,737
USR_00476,39000,7227,73000,618
USR_00477,30000,15690,409000,561
USR_00478,478000,233047,744000,581
USR_00479,67000,21631,222000,656
USR_00480,19000,2567,394000,652
USR_00481,8000,2543,133000,626
USR_00482,4000,75,55000,591
USR_00483,26000,4845,265000,763
USR_00484,10000,2569,256000,606
USR_00485,5000,381,172000,591
USR_00486,11000,1806,134000,730
USR_00487,7000,840,351000,630
USR_00488,119000,11540,73000,685
USR_00489,53000,30048,87000,588
USR_00490,21000,11404,72000,685
USR_00491,96000,18372,174000,701
USR_00492,23000,6026,68000,571
USR_00493,9000,2891,94000,612
USR_00494,101000,20052,92000,586
USR_00495,37000,6339,132000,613
USR_00496,7000,1481,49000,762
USR_00497,18000,379,174000,667
USR_00498,9000,1975,441000,786
USR_00499,5000,1623,181000,753
USR_00500,55000,6126,558000,729
USR_00501,148000,23873,473000,751
USR_00502,5000,1340,303000,731
USR_00503,38000,20864,172000,769
USR_00504,11000,2312,165000,688
USR_00505,13000,3260,299000,698
USR_00506,12000,1148,118000,696
USR_00507,9000,2194,36000,619
USR_00508,23000,7148,241000,709
USR_00509,9000,2070,65000,738
USR_00510,28000,1087,75000,607
USR_00511,20000,5302,162000,589
USR_00512,17000,2164,150000,611
USR_00513,8000,39,52000,744
USR_00514,12000,1262,185000,633
USR_00515,46000,19367,352000,572
USR_00516,36000,4612,65000,577
USR_00517,8000,2717,450000,586
USR_00518,24000,5909,46000,600
USR_00519,46000,9616,885000,552
USR_00520,4000,521,117000,692
USR_00521,37000,19596,182000,636
USR_00522,11000,6500,35000,687
USR_00523,38000,11188,154000,489
USR_00524,10000,2903,195000,725
USR_00525,3000,250,151000,644
USR_00526,4000,949,103000,685
USR_00527,23000,5606,76000,756
USR_00528,28000,2870,402000,675
USR_00529,8000,4876,166000,797
USR_00530,41000,12624,558000,518
USR_00531,4000,1406,106000,627
USR_00532,20000,5106,114000,523
USR_00533,6000,2135,312000,672
USR_00534,11000,1950,44000,655
USR_00535,23000,8762,61000,573
USR_00536,9000,1226,391000,802
USR_00537,14000,6192,63000,624
USR_00538,60000,10354,37000,495
USR_00539,12000,4165,725000,697
USR_00540,50000,12964,53000,698
USR_00541,7000,641,188000,616
USR_00542,37000,20713,172000,705
USR_00543,93000,20247,17000,583
USR_00544,1000,285,131000,620
USR_00545,9000,3791,232000,677
USR_00546,39000,17950,216000,714
USR_00547,17000,8310,335000,634
USR_00548,31000,4401,119000,616
USR_00549,12000,1823,287000,647
USR_00550,24000,5161,93000,506
USR_00551,18000,9014,52000,630
USR_00552,70000,44603,57000,511
USR_00553,28000,10341,50000,591
USR_00554,30000,609,365000,550
USR_00555,14000,8651,48000,686
USR_00556,13000,4331,202000,598
USR_00557,14000,2632,131000,736
USR_00558,32000,7792,149000,520
USR_00559,14000,4013,484000,632
USR_00560,29000,17101,114000,655
USR_00561,175000,83325,265000,684
USR_00562,52000,1848,167000,800
USR_00563,15000,3900,144000,512
USR_00564,73000,6600,1024000,596
USR_00565,14000,7168,51000,789
USR_00566,2000,882,456000,585
USR_00567,8000,1024,275000,680
USR_00568,3000,897,110000,584
USR_00569,15000,8386,599000,552
USR_00570,22000,9205,37000,592
USR_00571,117000,24945,107000,788
USR_00572,30000,5865,61000,568
USR_00573,17000,4988,226000,629
USR_00574,50000,30489,66000,632
USR_00575,2000,295,230000,714
USR_00576,27000,11412,140000,729
USR_00577,47000,2852,110000,657
USR_00578,5000,1761,222000,426
USR_00579,69000,2801,131000,587
USR_00580,30000,10848,68000,566
USR_00581,14000,5962,1530000,731
USR_00582,41000,6096,110000,585
USR_00583,213000,113789,27000,767
USR_00584,26000,11407,82000,678
USR_00585,28000,6614,59000,729
USR_00586,13000,5520,315000,807
USR_00587,9000,118,210000,583
USR_00588,50000,29434,223000,536
USR_00589,9000,333,121000,663
USR_00590,23000,2674,130000,716
USR_00591,13000,123,120000,603
USR_00592,35000,10586,152000,652
USR_00593,30000,1830,317000,735
USR_00594,62000,23308,212000,728
USR_00595,13000,3459,242000,609
USR_00596,16000,700,242000,668
USR_00597,8000,2164,330000,584
USR_00598,14000,2130,204000,548
USR_00599,32000,12406,216000,745
USR_00600,46000,3909,421000,500
USR_00601,8000,1484,95000,663
USR_00602,52000,8290,82000,624
USR_00603,85000,26503,63000,688
USR_00604,33000,4610,188000,602
USR_00605,143000,76316,36000,729
USR_00606,10000,4193,235000,634
USR_00607,6000,1902,149000,751
USR_00608,3000,1802,403000,665
USR_00609,98000,2067,95000,576
USR_00610,42000,17032,138000,687
USR_00611,20000,9041,399000,679
USR_00612,29000,4466,492000,642
USR_00613,7000,2132,94000,597
USR_00614,254000,83444,188000,710
USR_00615,25000,1528,205000,582
USR_00616,24000,9608,219000,589
USR_00617,45000,21456,131000,686
USR_00618,35000,7374,453000,635
USR_00619,27000,2293,35000,512
USR_00620,9000,4392,116000,582
USR_00621,35000,3323,232000,678
USR_00622,144000,1823,234000,631
USR_00623,84000,14690,480000,642
USR_00624,108000,8225,424000,668
USR_00625,13000,4326,129000,681
USR_00626,8000,574,460000,658
USR_00627,19000,2375,91000,417
USR_00628,23000,1325,342000,646
USR_00629,65000,7459,692000,613
USR_00630,4000,123,430000,652
USR_00631,101000,3643,177000,724
USR_00632,18000,4697,124000,574
USR_00633,14000,1583,47000,654
USR_00634,8000,1480,208000,683
USR_00635,4000,1108,66000,628
USR_00636,50000,4518,86000,558
USR_00637,23000,12814,62000,565
USR_00638,6000,937,112000,647
USR_00639,6000,791,159000,606
USR_00640,15000,866,202000,515
USR_00641,116000,64629,100000,594
USR_00642,16000,4459,382000,558
USR_00643,4000,143,137000,702
USR_00644,17000,3832,86000,546
USR_00645,16000,2178,195000,749
USR_00646,1000,381,782000,801
USR_00647,20000,14166,212000,598
USR_00648,17000,5166,121000,607
USR_00649,44000,8818,47000,716
USR_00650,139000,47526,136000,725
USR_00651,67000,33647,196000,615
USR_00652,16000,2970,119000,619
USR_00653,7000,1251,42000,619
USR_00654,288000,91647,82000,590
USR_00655,23000,7357,521000,713
USR_00656,22000,6075,512000,660
USR_00657,21000,1168,80000,599
USR_00658,26000,6147,278000,654
USR_00659,19000,2053,63000,623
USR_00660,12000,876,500000,825
USR_00661,12000,1143,198000,632
USR_00662,21000,4014,347000,701
USR_00663,12000,754,41000,680
USR_00664,10000,2849,279000,639
USR_00665,24000,5987,161000,680
USR_00666,17000,8717,321000,664
USR_00667,99000,5343,338000,824
USR_00668,1000,254,171000,643
USR_00669,65000,16035,100000,467
USR_00670,76000,4014,303000,803
USR_00671,2000,219,155000,614
USR_00672,15000,5597,80000,656
USR_00673,15000,5978,77000,611
USR_00674,5000,231,49000,608
USR_00675,10000,494,108000,571
USR_00676,7000,732,393000,509
USR_00677,127000,46182,187000,599
USR_00678,56000,5698,106000,685
USR_00679,78000,19500,309000,534
USR_00680,45000,28883,83000,685
USR_00681,7000,2844,175000,812
USR_00682,13000,2345,140000,670
USR_00683,35000,21529,303000,552
USR_00684,6000,1081,46000,678
USR_00685,44000,1765,82000,717
USR_00686,17000,11458,43000,741
USR_00687,15000,3506,132000,663
USR_00688,44000,5373,428000,692
USR_00689,34000,16957,108000,709
USR_00690,15000,2981,108000,692
USR_00691,70000,1800,326000,672
USR_00692,7000,1349,382000,605
USR_00693,40000,1733,151000,716
USR_00694,39000,22321,281000,612
USR_00695,16000,7115,68000,832
USR_00696,30000,5899,490000,605
USR_00697,6000,1491,907000,706
USR_00698,55000,14174,246000,560
USR_00699,18000,6569,30000,616
USR_00700,13000,2928,104000,608
USR_00701,62000,9114,265000,554
USR_00702,10000,5841,116000,609
USR_00703,5000,2136,450000,675
USR_00704,4000,1182,260000,632
USR_00705,40000,8145,92000,733
USR_00706,6000,583,167000,584
USR_00707,127000,5864,79000,698
USR_00708,2000,669,140000,608
USR_00709,120000,8960,104000,729
USR_00710,27000,1843,416000,704
USR_00711,19000,2386,884000,720
USR_00712,12000,6065,51000,638
USR_00713,32000,8534,34000,743
USR_00714,21000,6060,133000,533
USR_00715,66000,39554,48000,681
USR_00716,24000,1828,168000,659
USR_00717,25000,6436,296000,708
USR_00718,15000,528,537000,644
USR_00719,20000,9784,191000,581
USR_00720,29000,15599,139000,573
USR_00721,3000,539,33000,649
USR_00722,5000,855,166000,631
USR_00723,46000,25902,172000,709
USR_00724,26000,5433,271000,716
USR_00725,18000,3862,92000,653
USR_00726,22000,4199,114000,651
USR_00727,31000,2242,49000,724
USR_00728,12000,1940,26000,632
USR_00729,10000,4459,67000,635
USR_00730,26000,2470,46000,557
USR_00731,8000,1158,213000,711
USR_00732,33000,7895,107000,643
USR_00733,4000,481,105000,729
USR_00734,61000,4554,74000,565
USR_00735,35000,3665,12000,615
USR_00736,28000,13872,543000,716
USR_00737,58000,11905,73000,672
USR_00738,116000,36915,117000,567
USR_00739,60000,20337,50000,714
USR_00740,3000,822,354000,558
USR_00741,6000,3014,182000,707
USR_00742,11000,1183,84000,581
USR_00743,22000,3628,118000,734
USR_00744,36000,16231,623000,657
USR_00745,10000,1075,153000,674
USR_00746,26000,7356,140000,644
USR_00747,10000,3538,76000,656
USR_00748,11000,2944,35000,655
USR_00749,5000,2128,143000,699
USR_00750,8000,4239,211000,645
USR_00751,5000,1814,392000,752
USR_00752,8000,657,26000,598
USR_00753,63000,10673,66000,710
USR_00754,8000,1233,102000,689
USR_00755,306000,118588,162000,736
USR_00756,36000,5546,144000,658
USR_00757,26000,434,147000,673
USR_00758,9000,5095,225000,672
USR_00759,44000,3162,79000,564
USR_00760,12000,2303,343000,677
USR_00761,24000,8644,230000,850
USR_00762,284000,58937,126000,762
USR_00763,20000,4365,585000,595
USR_00764,69000,57730,565000,523
USR_00765,10000,1681,343000,653
USR_00766,21000,11851,14000,725
USR_00767,129000,22415,575000,647
USR_00768,11000,5399,307000,782
USR_00769,134000,7959,810000,595
USR_00770,44000,4652,437000,665
USR_00771,12000,5617,575000,642
USR_00772,41000,6724,328000,701
USR_00773,58000,42361,478000,705
USR_00774,41000,12324,802000,733
USR_00775,4000,1292,193000,641
USR_00776,10000,1777,46000,738
USR_00777,17000,1134,127000,674
USR_00778,20000,4222,222000,745
USR_00779,40000,793,172000,754
USR_00780,26000,10860,60000,651
USR_00781,5000,691,44000,602
USR_00782,32000,9498,89000,664
USR_00783,40000,14204,310000,719
USR_00784,38000,5550,576000,544
USR_00785,64000,19656,338000,615
USR_00786,50000,9505,379000,697
USR_00787,34000,6152,152000,468
USR_00788,20000,5708,40000,577
USR_00789,4000,698,113000,607
USR_00790,33000,20042,132000,644
USR_00791,27000,1796,109000,627
USR_00792,28000,6431,170000,628
USR_00793,6000,468,231000,556
USR_00794,7000,5081,322000,773
USR_00795,63000,35602,130000,607
USR_00796,21000,11173,35000,516
USR_00797,43000,394,110000,729
USR_00798,22000,7113,168000,595
USR_00799,22000,4815,432000,565
USR_00800,56000,26227,103000,697
USR_00801,13000,3146,245000,613
USR_00802,24000,4692,205000,661
USR_00803,13000,4684,168000,605
USR_00804,14000,5609,342000,617
USR_00805,16000,3899,95000,580
USR_00806,27000,11340,102000,565
USR_00807,13000,2852,161000,850
USR_00808,77000,25451,97000,592
USR_00809,9000,6404,244000,547
USR_00810,18000,4230,91000,729
USR_00811,14000,6075,195000,668
USR_00812,93000,35511,150000,651
USR_00813,26000,4918,193000,615
USR_00814,61000,17577,112000,621
USR_00815,4000,645,124000,629
USR_00816,28000,3760,175000,729
USR_00817,53000,10935,191000,632
USR_00818,23000,1742,162000,730
USR_00819,63000,23089,636000,646
USR_00820,13000,2961,73000,635
USR_00821,90000,61895,154000,578
USR_00822,219000,30532,46000,800
USR_00823,15000,8375,219000,651
USR_00824,14000,10952,66000,649
USR_00825,94000,31278,130000,780
